candidate,party,votes,percentage,election_year,date,candidate_name,comment,postal_data,poll_data,final_percentage,negative_prob,neutral_prob,positive_prob
Ratnayake,PNF,18174,0.15,2015,,,,,,,,,
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,"I wish you a happy new year, dear Madam, who brings the comfort of freedom and good governance to our dear Mother Lak and to us who live there.",51.04,54.42,51.28,0.0017614405369386,0.0056979856453835,0.9925406575202942
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,"Today, Maithri is supported only by scumbags, extremist Tamil sections, and jumping frogs from the government. Let's win Mahinda with the Sinhalese vote who loves the country including all true UNP party members. Don't vote for Sinhala Chanda Maithri to make the Hambas king when all Geri Hambas come together and line up to win Hambas privileges.",51.04,54.42,51.28,0.3600300252437591,0.5798816680908203,0.0600883662700653
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,Mahinda Rajapaksha #2015,51.04,54.42,51.28,0.0114710582420229,0.968985378742218,0.0195435546338558
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,"We wish the same. We need a Great country, real paradise in the Indian ocean.",51.04,54.42,51.28,0.0013532498851418,0.0440894067287445,0.9545573592185974
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,maithri forever,51.04,54.42,51.28,0.0193178299814462,0.809814453125,0.1708677262067794
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,super,51.04,54.42,51.28,0.0151609657332301,0.7379255890846252,0.2469135373830795
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,great we are are with u,51.04,54.42,51.28,0.0016034510917961,0.0097533017396926,0.988643229007721
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,waiting for that era!,51.04,54.42,51.28,0.0230256412178277,0.930083692073822,0.0468906126916408
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,oh my god sirisena,51.04,54.42,51.28,0.0835911035537719,0.6566287875175476,0.259780079126358
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,win for us in srilanka,51.04,54.42,51.28,0.0015344814164564,0.06391441822052,0.9345510601997375
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,great,51.04,54.42,51.28,0.0061850096099078,0.0533605143427848,0.9404545426368712
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,win for sure,51.04,54.42,51.28,0.0024994146078824,0.0738553330302238,0.9236452579498292
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,vote for maithri,51.04,54.42,51.28,0.0035535006318241,0.8681850433349609,0.128261387348175
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,good,51.04,54.42,51.28,0.0052148872055113,0.1295617371797561,0.8652233481407166
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,great people for ever,51.04,54.42,51.28,0.0025412421673536,0.0053981570526957,0.9920605421066284
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,cant think how to laugh,51.04,54.42,51.28,0.1781351864337921,0.6374643445014954,0.1844004541635513
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,oh yeah,51.04,54.42,51.28,0.004515022970736,0.22719506919384,0.7682899236679077
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,thanks,51.04,54.42,51.28,0.0337963625788688,0.6199148893356323,0.3462886810302734
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,respect,51.04,54.42,51.28,0.0126874698325991,0.3477470576763153,0.6395654678344727
Maithripala,NDF,6217162,51.28,2015,12/31/2014,Maithripala,win win,51.04,54.42,51.28,0.0047614960931241,0.0971399322152137,0.8980985879898071
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,90% of new voters vl vote 2 #maithri . like me,51.04,54.42,51.28,0.0026141463313251,0.6164528131484985,0.38093301653862
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,you are precident,51.04,54.42,51.28,0.012677970342338,0.9354387521743774,0.0518831722438335
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,"GALLE NAGODA we are Ready..!!,but heavy rain our area.",51.04,54.42,51.28,0.0192432291805744,0.898173987865448,0.0825827494263649
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,We warmly welcome 2 our beruwala,51.04,54.42,51.28,0.0015702409436926,0.0070322160609066,0.991397500038147
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,"you are gonna go around island but you forgot Anuradhapura & Polonnaruwa... they're suffering from heavy rain n flooding.. you are from Polonnaruwa, but we didnt see you help those people even didnt talk about them.. but Mr.Sirisena i am from A'pura and you know what Namal Rajapaksa,Yoshitha Rajapaksa n co. here helping those people... you are just a puppet of Mr.Ranil, Mrs.Chandrika and co. how could we believe you?",51.04,54.42,51.28,0.8999308943748474,0.0959572196006774,0.0041118361987173
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,wel come to the southern province our future PRESIDENT,51.04,54.42,51.28,0.0031698425300419,0.5241090655326843,0.4727210998535156
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,If you lose kiri bath inside jail ..,51.04,54.42,51.28,0.6864420175552368,0.3080983757972717,0.0054595516994595
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,in the country We have drugged our children and made them wild Rajapaksa is in power,51.04,54.42,51.28,0.9672300219535828,0.0295289363712072,0.0032410828862339
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,please counter attack in stage bought the tissa hora givisuma & more publicity on last 10 days of your campain.,51.04,54.42,51.28,0.0120092332363128,0.9600133299827576,0.0279773734509944
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,"We are muslims,sinhala,crist,tamils whoa are living in berwala warmly WELLCOME.. jayawewa..",51.04,54.42,51.28,0.0882565155625343,0.7417244911193848,0.1700189560651779
Maithripala,NDF,6217162,51.28,2015,12/25/2014,Maithripala,like you,51.04,54.42,51.28,0.12931989133358,0.7769736051559448,0.0937065109610557
